Ux,Uy,Uz,Ts,Diagnostic_CSAT,CO2,H2O,press,LI7500_diag,LI7550_SignalStrength,seconds,nanoseconds,Diagnostic_7700,CH4_density,CH4_mole_fraction,Temperature,Pressure,RSSI
1.8600001335144043,-2.202500104904175,-0.1315000057220459,23.625732421875,52.0,16.424224853515625,752.1492309570312,101.54642486572266,249.0,56.25,1721928576.0,675000000.0,14.0,0.08685240149497986,2.1040899753570557,22.384300231933594,100.927001953125,63.25040054321289
1.6682500839233398,-2.316500186920166,0.1652500033378601,23.63427734375,53.0,16.461591720581055,743.2969970703125,101.54642486572266,249.0,56.25,1721928576.0,725000000.0,14.0,0.08663029968738556,2.0985500812530518,22.36709976196289,100.93099975585938,63.25339889526367
1.8250000476837158,-2.642500162124634,0.03150000050663948,23.4298095703125,54.0,16.469253540039062,738.9998779296875,101.5828628540039,249.0,56.25,1721928576.0,775000000.0,14.0,0.08619719743728638,2.0880000591278076,22.3612003326416,100.93099975585938,63.276100158691406
1.8065000772476196,-2.6252501010894775,0.04150000214576721,23.467620849609375,55.0,16.47348976135254,739.5675048828125,101.5828628540039,249.0,56.25,1721928576.0,825000000.0,14.0,0.08608660101890564,2.0852699279785156,22.354900360107422,100.927001953125,63.26919937133789
1.7705000638961792,-2.661750078201294,0.08350000530481339,23.419464111328125,56.0,16.46968650817871,738.7953491210938,101.53606414794922,249.0,56.25,1721928576.0,875000000.0,14.0,0.08631420135498047,2.090640068054199,22.340200424194336,100.92900085449219,63.29840087890625
1.7025001049041748,-2.6277501583099365,0.0860000029206276,23.414337158203125,57.0,16.489839553833008,731.5496215820312,101.53606414794922,249.0,56.25,1721928576.0,925000000.0,14.0,0.086592897772789,2.0972299575805664,22.322999954223633,100.92900085449219,63.33369827270508
1.5557501316070557,-2.477250099182129,-0.0012500000884756446,23.512298583984375,58.0,16.494831085205078,728.2350463867188,101.53606414794922,249.0,56.25,1721928576.0,975000000.0,14.0,0.08654119819402695,2.0958499908447266,22.309200286865234,100.92900085449219,63.32749938964844
1.7780001163482666,-2.56600022315979,-0.1667500138282776,23.405731201171875,59.0,16.45764923095703,739.4662475585938,101.53606414794922,249.0,56.25,1721928576.0,25000000.0,14.0,0.08619959652423859,2.087599992752075,22.31170082092285,100.927001953125,63.27109909057617
1.7577500343322754,-2.6362500190734863,-0.17150001227855682,23.400604248046875,60.0,16.502330780029297,725.4857788085938,101.53606414794922,249.0,56.25,1721928576.0,75000000.0,14.0,0.08572609722614288,2.0760700702667236,22.304899215698242,100.93099975585938,63.312400817871094
1.7342500686645508,-2.598750114440918,-0.2277500182390213,23.39373779296875,61.0,16.511672973632812,723.9087524414062,101.53606414794922,249.0,56.25,1721928576.0,125000000.0,14.0,0.08548170328140259,2.0700900554656982,22.29800033569336,100.92900085449219,63.323001861572266
1.7612501382827759,-2.6812500953674316,-0.23975001275539398,23.397186279296875,62.0,16.51443862915039,723.6015014648438,101.48397064208984,249.0,56.25,1721928576.0,175000000.0,14.0,0.08562350273132324,2.073309898376465,22.274799346923828,100.92900085449219,63.371700286865234
1.6990001201629639,-2.6392500400543213,-0.27175000309944153,23.404052734375,63.0,16.516456604003906,723.3395385742188,101.5828628540039,249.0,56.25,1721928576.0,225000000.0,14.0,0.08543740212917328,2.068540096282959,22.246400833129883,100.927001953125,63.38420104980469
1.689250111579895,-2.6045000553131104,-0.24450001120567322,23.412628173828125,0.0,16.512033462524414,722.8361206054688,101.5828628540039,249.0,56.25,1721928576.0,275000000.0,14.0,0.08560629934072495,2.0725901126861572,22.242300033569336,100.92900085449219,63.37099838256836
1.695750117301941,-2.6035001277923584,-0.34275001287460327,23.414337158203125,1.0,16.512243270874023,723.5186767578125,101.59325408935547,249.0,56.25,1721928576.0,325000000.0,14.0,0.0853722020983696,2.0668399333953857,22.232900619506836,100.927001953125,63.364498138427734
1.6760001182556152,-2.6382501125335693,-0.3005000054836273,23.391998291015625,2.0,16.509498596191406,723.1553955078125,101.49966430664062,249.0,56.25,1721928576.0,375000000.0,14.0,0.08569590002298355,2.0744199752807617,22.20509910583496,100.92900085449219,63.36880111694336
1.6395000219345093,-2.6570000648498535,-0.30425000190734863,23.3851318359375,3.0,16.50507926940918,722.842529296875,101.49966430664062,249.0,56.25,1721928576.0,425000000.0,14.0,0.08570659905672073,2.0747199058532715,22.210100173950195,100.927001953125,63.36600112915039
1.6470000743865967,-2.69100022315979,-0.3125,23.407470703125,4.0,16.506763458251953,722.8870239257812,101.49966430664062,249.0,56.25,1721928576.0,475000000.0,14.0,0.08538209646940231,2.066920042037964,22.215999603271484,100.92900085449219,63.403900146484375
1.633500099182129,-2.667750120162964,-0.36350002884864807,23.388580322265625,5.0,16.5102481842041,723.365234375,101.5621109008789,249.0,56.25,1721928576.0,525000000.0,14.0,0.0852632001042366,2.063999891281128,22.211599349975586,100.93399810791016,63.375701904296875
1.630500078201294,-2.6430001258850098,-0.3227500021457672,23.391998291015625,6.0,16.514081954956055,723.4805297851562,101.5828628540039,249.0,56.25,1721928576.0,575000000.0,14.0,0.08555799722671509,2.0712199211120605,22.21980094909668,100.927001953125,63.35200119018555
1.6110000610351562,-2.652750015258789,-0.3097500205039978,23.39886474609375,7.0,16.511133193969727,722.844482421875,101.5828628540039,249.0,56.25,1721928576.0,625000000.0,14.0,0.08533229678869247,2.0657100677490234,22.21540069580078,100.927001953125,63.39250183105469
